Kinematic Variable,DatScan Variable,Pearson Correlation,P-value,N
rangecycleduration,Contralateral_Striatum_new,0.16155917859887386,0.20587613152901807,63
meanamplitude,Contralateral_Caudate_old,0.19563036004692094,0.20867313224143128,43
meanrmsvelocity,Contralateral_Putamen_new,0.16008241898110792,0.21010693666391822,63
ratedecay,Contralateral_Putamen_old,0.1933418286487369,0.2141520965720169,43
rangecycleduration,Contralateral_Striatum_Z,0.15689478999391746,0.21944754777425737,63
meanamplitude,Contralateral_Striatum_Z,0.15373926046542996,0.2289766466270659,63
ratedecay,Contralateral_Striatum_old,0.18833307578474387,0.23831263061952535,41
meanspeed,Contralateral_Putamen_new,0.1493158591872092,0.2428121519322609,63
stdopeningspeed,Contralateral_Putamen_new,-0.14566461113732895,0.2546561147039554,63
stdopeningspeed,Contralateral_Striatum_new,-0.14345249622362846,0.2620193546654745,63
meanclosingspeed,Contralateral_Caudate_new,0.13991662793768966,0.27408411153274626,63
stdopeningspeed,Contralateral_Caudate_new,-0.13820286087343586,0.2800627618195961,63
ratedecay,Contralateral_Caudate_Z,0.1362927036973046,0.28682763311363146,63
meanrmsvelocity,Contralateral_Caudate_old,-0.16344732034525775,0.29497217328806274,43
ratedecay,Contralateral_Caudate_old,0.1607051731596491,0.3032580377362946,43
rangecycleduration,Contralateral_Putamen_old,0.15778935053586737,0.31223046993955655,43
stdopeningspeed,Contralateral_Striatum_old,-0.16076718861433903,0.3153168522602551,41
meanamplitude,Contralateral_Putamen_Z,0.12835092746322485,0.3160985414010935,63
stdclosingspeed,Contralateral_Putamen_old,-0.15094530010152166,0.33394481651276664,43
ratedecay,Contralateral_Striatum_Z,0.12362295741526767,0.33440104667812826,63
stdopeningspeed,Contralateral_Putamen_Z,-0.12108569790599669,0.3444921941581601,63
meanspeed,Contralateral_Caudate_old,-0.14544010806805996,0.3520748074984878,43
stdopeningspeed,Contralateral_Striatum_Z,-0.11908161452788592,0.35259526518596,63
ratedecay,Contralateral_Putamen_Z,0.11879373387762081,0.3537688303061626,63
rangecycleduration,Contralateral_Caudate_old,0.14312625948417362,0.3598705607180903,43
meanamplitude,Contralateral_Striatum_old,0.14670797383582318,0.3600318097701165,41
meanclosingspeed,Contralateral_Putamen_old,-0.14213266065960137,0.363249944447198,43
